#MasterID Mag Magerr RA Dec MJD Blend
1123012062523 17.42 0.09 35.38870 25.21343 54773.29186 0
1123012062523 17.51 0.09 35.38865 25.21332 54787.28131 0
1123012062523 17.40 0.09 35.38867 25.21321 54787.28804 0
1123012062523 17.51 0.09 35.38882 25.21335 54787.29468 0
1123012062523 17.49 0.09 35.38868 25.21342 54787.30138 0
1123012062523 17.39 0.09 35.38867 25.21319 54800.19746 0
1123012062523 17.41 0.09 35.38889 25.21337 54800.20662 0
1123012062523 17.33 0.09 35.38885 25.21317 54800.21572 0
1123012062523 17.45 0.09 35.38868 25.21328 54800.22499 0
1123012062523 17.40 0.09 35.38888 25.21321 54749.28647 0
1123012062523 17.45 0.09 35.38890 25.21329 54749.29740 0
1123012062523 17.31 0.09 35.38894 25.21326 54749.30823 0
1123012062523 17.48 0.09 35.38893 25.21326 54749.31917 0
1123012062523 17.37 0.09 35.38881 25.21325 54763.33721 0
1123012062523 17.41 0.09 35.38886 25.21317 54763.35110 0
1123012062523 17.44 0.09 35.38883 25.21328 54763.36504 0
1123012062523 17.42 0.09 35.38880 25.21326 54763.37884 0
1123012062523 17.49 0.10 35.38884 25.21333 54770.42337 0
1123012062523 17.32 0.09 35.38879 25.21337 54770.42883 0
1123012062523 17.39 0.09 35.38893 25.21329 54770.43432 0
1123012062523 17.39 0.09 35.38886 25.21332 54770.43978 0
1123012062523 17.46 0.09 35.38897 25.21336 54732.32002 0
1123012062523 17.53 0.09 35.38891 25.21331 54732.32864 0
1123012062523 17.46 0.09 35.38894 25.21328 54732.33722 0
1123012062523 17.43 0.09 35.38887 25.21327 54732.34588 0
1123012062523 17.15 0.10 35.38898 25.21326 54739.34182 0
1123012062523 17.54 0.11 35.38896 25.21330 54739.34604 0
1123012062523 17.65 0.18 35.38915 25.21321 54739.35025 0
1123012062523 17.62 0.13 35.38888 25.21350 54739.35444 0
1123012062523 17.53 0.10 35.38872 25.21336 55061.45263 0
1123012062523 17.49 0.10 35.38880 25.21332 55061.45873 0
1123012062523 17.40 0.09 35.38876 25.21344 55061.46485 0
1123012062523 17.41 0.09 35.38883 25.21329 55061.47094 0
1123012062523 17.32 0.09 35.38875 25.21319 55183.17594 0
1123012062523 17.37 0.09 35.38873 25.21332 55183.18097 0
1123012062523 17.33 0.09 35.38889 25.21327 55183.18614 0
1123012062523 17.34 0.10 35.38872 25.21328 55183.19438 0
1123012062523 16.86 0.09 35.38874 25.21322 54877.10001 0
1123012062523 17.38 0.11 35.38890 25.21342 54877.10551 0
1123012062523 17.01 0.10 35.38875 25.21316 54877.11091 0
1123012062523 17.43 0.10 35.38889 25.21341 54877.11642 0
1123012062523 17.47 0.09 35.38872 25.21324 54848.16999 0
1123012062523 17.35 0.09 35.38880 25.21329 54848.17717 0
1123012062523 17.34 0.09 35.38878 25.21328 54848.18444 0
1123012062523 17.34 0.09 35.38870 25.21324 54848.19177 0
1123012062523 17.41 0.09 35.38875 25.21315 55143.19053 0
1123012062523 17.43 0.09 35.38887 25.21322 55143.19853 0
1123012062523 17.36 0.08 35.38880 25.21319 55143.20650 0
1123012062523 17.44 0.09 35.38872 25.21328 55143.21433 0
1123012062523 17.51 0.10 35.38876 25.21327 55160.15483 0
1123012062523 17.39 0.09 35.38894 25.21323 55160.16283 0
1123012062523 17.43 0.09 35.38869 25.21328 55160.17132 0
1123012062523 17.33 0.09 35.38870 25.21333 55160.17934 0
1123012062523 17.41 0.09 35.38876 25.21327 55118.36523 0
