#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
201.0142,-35.5559,-35 33 21.2,13 24 03.409,116413.0,0.17,0.066,20.3,11.0,310.3634,26.8447,0000000000001000000000
259.33716,-35.5486,-35 32 55.0,17 17 20.918,156134.0,2.094,0.44,127.6,6.0,351.1966,1.3689,0000000000000100010000
259.36255,-35.5366,-35 32 11.8,17 17 27.010,156154.0,1.599,0.277,125.6,5.0,351.2183,1.359,0000000000000100010000
145.67236,-35.5017,-35 30 06.1,09 42 41.368,84224.0,0.57,0.035,122.4,1.8,265.1035,13.1558,0000000000001000000000
265.96283,-35.4995,-35 29 58.2,17 43 51.082,160872.0,2.16,0.1,7.7,1.3,354.2037,-3.107,0000000000000100000000
14.81826,-35.4907,-35 29 26.5,00 59 16.382,5816.0,0.23,0.048,135.0,6.0,292.1139,-81.4723,0000000100000000000000
259.21976,-35.48,-35 28 48.0,17 16 52.741,156041.0,1.22,0.1,131.9,2.3,351.1973,1.4866,0000000000000100000000
264.77676,-35.4675,-35 28 03.0,17 39 06.422,320325.0,3.14,0.1,178.4,0.9,353.7212,-2.2694,0000000000000100000000
124.57245,-35.4517,-35 27 06.1,08 18 17.388,70002.0,0.01,0.035,7.1,60.3,253.748,0.2142,0000000000001000000000
256.6182,-35.451,-35 27 03.6,17 06 28.368,154368.0,0.308,0.007,156.4,0.7,349.9703,3.215,0000000000001100000000
34.94977,-35.4455,-35 26 43.8,02 19 47.946,14526.0,0.041,0.036,167.3,23.7,242.2315,-69.4323,0000000100000000000000
338.37686,-35.4442,-35 26 39.1,22 33 30.449,213628.0,0.045,0.039,172.0,23.4,8.4623,-59.5524,0000000100000000000000
199.17691,-35.4379,-35 26 16.4,13 16 42.460,115292.0,0.09,0.066,61.4,20.1,308.7146,27.1499,0000000000001000000000
185.8977,-35.4126,-35 24 45.4,12 23 35.448,107832.0,0.07,0.035,97.6,14.0,296.5602,27.1143,0000000000001000000000
264.49374,-35.3845,-35 23 04.2,17 37 58.501,320156.0,2.57,0.1,13.0,1.1,353.6685,-2.03,0000000000000100000000
264.3788,-35.333,-35 19 58.8,17 37 30.914,159684.0,2.08,0.1,164.2,1.4,353.6618,-1.9233,0000000000000100000000
208.46779,-35.3141,-35 18 50.8,13 53 52.271,121056.0,0.06,0.035,30.2,16.3,317.0513,25.8399,0000000000001000000000
259.43964,-35.2241,-35 13 26.8,17 17 45.514,156201.0,1.03,0.201,127.0,5.6,351.5099,1.488,0000000000000100010000
264.87515,-35.2199,-35 13 11.6,17 39 30.038,160068.0,2.08,0.1,3.2,1.4,353.9738,-2.2057,0000000000000100000000
123.46142,-35.2082,-35 12 29.5,08 13 50.740,69066.0,0.04,0.03,76.8,20.6,253.0403,-0.4023,0000000001000000000000
151.63918,-35.1801,-35 10 48.4,10 06 33.404,87782.0,0.18,0.05,60.4,7.9,268.7516,16.5256,0000000000001000000000
220.9145,-35.1732,-35 10 23.5,14 43 39.482,129456.0,0.07,0.035,150.3,14.0,327.4829,22.2925,0000000000001000000000
2.93286,-35.1333,-35 07 59.9,00 11 43.886,739.0,0.008,0.008,18.7,26.6,347.1569,-78.3387,0000000100000000000000
144.51056,-35.0764,-35 04 35.0,09 38 02.533,83516.0,0.31,0.07,121.6,6.4,264.0915,12.8277,0000000001000000000000
