col1,col2,_r,USNO-B1.0,Tycho-2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,pmRA,pmDE,muPr,e_pmRA,e_pmDE,fit_RA,fit_DE,Ndet,Flags,B1mag,B1C,B1S,B1f,B1s/g,B1xi,B1eta,R1mag,R1C,R1S,R1f,R1s/g,R1xi,R1eta,B2mag,B2C,B2S,B2f,B2s/g,B2xi,B2eta,R2mag,R2C,R2S,R2f,R2s/g,R2xi,R2eta,Imag,IC,IS,If,Is/g,Ixi,Ieta,Separation
204.746083333,11.8879722222,3.7E-5,1018-0248866,,204.746098,11.888006,101,46,1977.2,8,0,8,3,1,1,0,5,..Y,17.37,2,0,499,8,-0.13,-0.02,16.77,2,1,499,1,0.13,0.0,18.17,2,2,648,7,-0.07,0.07,17.87,2,3,648,9,0.01,-0.02,17.29,2,7,648,,0.04,-0.05,3.670057051737603E-5
205.01925,-1.62958333333,2.6E-5,0883-0256091,,205.01927,-1.6296,29,73,1977.2,4,-4,9,0,2,0,1,5,...,18.81,2,0,619,3,-0.05,-0.07,18.76,2,1,619,2,0.03,0.07,18.69,2,2,864,4,0.0,0.08,18.83,2,3,864,1,-0.03,-0.03,18.06,2,8,864,,0.01,-0.09,2.6027954245169268E-5
205.124166667,44.1677777778,3.9E-5,1341-0260217,,205.124112,44.167781,17,116,1978.9,2,-2,5,0,3,0,1,5,..Y,19.62,1,0,174,7,0.02,0.15,17.84,2,1,220,9,-0.03,-0.13,18.48,1,2,270,9,0.01,-0.15,17.34,1,3,270,2,0.0,0.06,17.17,1,7,270,,-0.02,0.05,3.934494334908136E-5
205.271291667,39.9959444444,2.49E-4,1299-0238235,,205.2711,39.996145,208,82,1974.9,-14,8,8,6,2,2,1,5,..Y,17.66,2,0,220,4,-0.2,-0.01,14.85,2,1,220,3,0.21,0.0,16.2,1,2,325,5,0.04,0.08,13.88,1,3,325,2,0.16,0.04,15.31,1,7,325,,-0.24,-0.14,2.4856137278995397E-4
205.400958333,55.2438888889,6.6E-5,1452-0225406,,205.40085,55.243912,55,80,1976.7,0,0,0,0,0,1,1,5,..Y,19.1,1,0,133,0,-0.03,0.03,16.91,1,1,133,2,0.13,-0.25,17.65,1,2,174,7,0.02,0.14,16.72,1,3,174,10,0.02,-0.05,16.35,1,7,174,,-0.17,0.1,6.59415572897518E-5
205.51975,-20.8581944444,7.8E-5,0691-0290616,,205.519698,-20.858256,105,112,1974.4,0,0,0,0,0,2,2,5,...,18.34,2,0,800,2,0.0,0.15,18.29,2,1,800,8,0.31,-0.36,18.96,2,4,577,3,0.02,-0.05,18.38,2,6,577,9,-0.14,0.19,18.16,2,8,577,,-0.22,0.03,7.842377472553458E-5
205.990083333,57.9117777778,3.5E-5,1479-0278345,,205.990073,57.911812,33,36,1979.4,0,0,0,0,0,0,0,5,...,18.46,2,0,98,9,-0.04,-0.06,18.83,2,1,98,8,0.01,-0.04,18.35,2,2,133,8,-0.09,-0.05,18.68,2,3,133,5,0.01,0.11,18.48,2,7,133,,0.08,0.01,3.465962528985349E-5
206.06,-17.3945555556,7.5E-5,0726-0370528,,206.060003,-17.394481,117,217,1972.2,0,0,0,0,0,2,4,4,...,20.39,2,0,800,8,0.04,-0.29,19.55,2,1,800,3,-0.14,0.48,21.66,1,4,648,8,-0.16,0.03,19.55,2,6,577,9,0.25,-0.25,,,,,,,,7.461054318571176E-5
206.388208333,44.8832222222,5.46E-4,1348-0247170,,206.387689,44.883625,817,378,1980.3,-198,176,9,31,14,9,4,3,...,,,,,,,,19.64,1,1,174,10,-0.08,-0.04,21.22,1,2,271,3,0.69,0.32,20.46,1,3,270,3,-0.62,-0.29,,,,,,,,5.455566824465282E-4
206.455458333,7.10863888889,7.3E-5,0971-0273715,,206.455531,7.108628,125,97,1977.0,0,0,0,0,0,2,2,5,..Y,20.1,1,0,559,7,0.34,-0.17,19.41,1,1,559,7,-0.2,-0.15,19.16,1,2,720,2,0.04,0.13,20.2,1,3,720,8,-0.27,-0.08,18.73,2,7,720,,0.06,0.26,7.292594676210479E-5
206.918458333,-37.8435,1.2E-4,0521-0381967,,206.918475,-37.843381,177,59,1987.5,8,14,9,11,3,2,0,4,...,,,,,,,,19.09,2,5,383,7,0.16,0.04,20.15,2,4,383,8,-0.12,-0.04,20.59,1,6,384,10,-0.01,-0.04,17.06,1,8,384,,-0.06,0.01,1.1972565327550586E-4
207.381,-11.5482777778,7.7E-5,0784-0267374,,207.381053,-11.548334,148,62,1977.1,0,0,0,0,0,3,1,5,..Y,16.97,1,0,740,4,0.46,0.16,16.39,1,1,740,3,0.01,-0.14,17.45,1,4,720,10,-0.04,-0.01,16.94,1,5,720,7,-0.3,-0.1,16.97,1,8,720,,-0.16,0.06,7.653337602233677E-5
207.71975,30.5815555556,1.06E-4,1205-0215798,,207.719837,30.581631,235,91,1976.5,10,8,8,7,2,3,1,5,..Y,19.94,1,0,325,8,-0.21,0.01,19.13,1,1,325,8,0.16,-0.01,18.87,1,2,445,7,0.2,-0.09,18.8,1,3,445,1,0.17,-0.09,18.78,1,7,445,,-0.34,0.15,1.0630938209717912E-4
207.836875,11.2480555556,5.9E-5,1012-0219502,,207.83687,11.248114,112,116,1976.6,0,0,0,0,0,2,2,5,..Y,18.43,2,0,499,2,0.21,-0.38,18.34,2,1,499,8,0.09,-0.02,18.22,1,2,721,8,-0.21,0.13,16.82,1,3,721,8,0.15,0.06,17.0,1,7,721,,-0.26,0.2,5.864978009661755E-5
208.235541667,-44.2112222222,4.2E-5,0457-0322134,,208.235573,-44.211187,82,58,1986.7,0,0,0,0,0,1,1,4,..Y,,,,,,,,16.63,1,5,271,10,-0.2,-0.05,17.36,1,4,271,9,0.05,-0.09,18.87,1,6,271,10,0.02,-0.01,16.85,1,8,271,,0.11,0.13,4.177314962692808E-5
208.345166667,14.59425,5.2E-5,1045-0227727,,208.345131,14.594289,63,133,1979.0,0,0,0,0,0,1,2,5,..Y,18.69,3,0,439,8,0.12,-0.44,18.81,3,1,439,9,0.07,0.1,19.31,2,2,649,4,-0.02,0.1,19.14,2,3,649,2,-0.2,-0.01,18.33,2,7,649,,0.01,0.23,5.208038808615978E-5
208.417291667,-66.666,1.4E-4,0233-0485314,,208.417645,-66.666,100,108,1985.0,20,-4,8,5,6,0,0,3,...,,,,,,,,16.15,2,5,97,12,0.06,-0.07,17.55,2,4,97,6,-0.04,0.03,17.13,2,6,97,15,-0.03,0.03,,,,,,,,1.3995182695934936E-4
208.61125,37.1151944444,6.8E-5,1271-0260534,,208.611259,37.115262,179,65,1974.8,4,6,8,5,2,2,0,5,..Y,17.81,2,0,271,9,-0.24,-0.03,17.58,2,1,271,9,0.24,0.03,18.27,1,2,325,2,-0.1,0.02,16.94,1,3,325,1,0.05,0.06,17.05,1,7,325,,0.02,-0.1,6.793574703203074E-5
