#  Ignore the first 4 columns because those are p and m from data directly and from an optimizer without an error. The relevant columns are 
#  p_o,sigma_p_low,sigma_p_high,plimit,m,sigma_m_low,sigma_m_high,mlimit
#sourcename data_p data_m opt_p opt_m p_o sigma_p_low sigma_p_high plimit m sigma_m_low sigma_m_high mlimit Nobs
RBPLJ2005+7752 0.07962222 1.196718 0.08320487 0.7631282 0.083 0.011 0.014 NA 0.763 0.085 0.102 NA 27 
RBPLJ2015-0137 0.1433259 0.2665037 0.1410153 0.2720136 0.141 0.008 0.008 NA 0.272 0.037 0.046 NA 27 
RBPLJ2016+1632 0.01235455 0.5509563 NA NA NA NA NA NA NA NA NA NA 11 
RBPLJ2016-0903 0.01325 0.8888306 NA NA NA NA NA NA NA NA NA NA 22 
RBPLJ2022+6136 0.03466667 0.5829169 NA NA NA NA NA NA NA NA NA NA 6 
RBPLJ2022+7611 0.1245143 0.3469779 0.1233408 0.3503522 0.123 0.008 0.009 NA 0.351 0.045 0.054 NA 28 
RBPLJ2024+1718 0.02731538 0.7785388 NA NA NA NA NA NA NA NA NA NA 13 
RBPLJ2030+1936 0.0948 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2030-0622 0.008442308 0.5186064 NA NA NA NA NA NA NA NA NA NA 26 
RBPLJ2031+1219 0.05 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2033+2146 0.056675 0.1097969 0.05750948 0.03321402 0.058 0.005 0.003 NA 0.028 NA NA 0.323 4 
RBPLJ2035+1056 0.0501 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2039-1046 0.081225 0.5119077 0.07552077 0.4068304 0.076 0.006 0.006 NA 0.407 0.061 0.072 NA 32 
RBPLJ2042+7508 0.01893704 0.2560444 0.01841165 0.1457806 0.0184 9e-04 0.001 NA 0.146 NA NA 0.265 27 
RBPLJ2051+1742 0.02906667 0.251696 NA NA NA NA NA NA NA NA NA NA 3 
RBPLJ2108-1607 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ2116+3339 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ2131-0915 0.07644286 0.2664725 0.0743476 0.2259142 0.074 0.003 0.004 NA 0.226 0.038 0.046 NA 28 
RBPLJ2143+1743 0.0130069 0.4142375 0.01063851 0.02777631 0.0106 0.0011 0.0011 NA 0.029 NA NA 0.375 29 
RBPLJ2146-1525 0.0208 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2147+0929 0.0399 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2148+0657 0.00987931 0.6582486 NA NA NA NA NA NA NA NA NA NA 29 
RBPLJ2149+0322 0.09679565 0.5301914 0.09254249 0.582932 0.093 0.013 0.013 NA 0.582 0.107 0.139 NA 23 
RBPLJ2150-1410 0.0457 0.5097967 0.03244931 0.01817443 0.033 0.003 0.002 NA 0.015 NA NA 0.358 20 
RBPLJ2152+1734 0.0834 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2158-1501 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ2202+4216 0.08002468 0.4696221 0.07975067 0.4798263 0.08 0.004 0.004 NA 0.48 0.035 0.039 NA 77 
RBPLJ2217+2421 0.1836 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2225-0457 0.06482727 0.9134887 0.05179187 1.329818 0.052 0.017 0.021 NA 1.328 0.348 0.496 NA 22 
RBPLJ2232+1143 0.04142642 0.7010735 0.04026084 0.7033936 0.04 0.003 0.004 NA 0.704 0.077 0.089 NA 53 
RBPLJ2243+2021 0.05477812 0.5895125 0.05376827 0.6220774 0.054 0.006 0.006 NA 0.622 0.077 0.093 NA 32 
RBPLJ2250+3825 0.0372 0.3025788 0.03686733 0.1953159 0.037 0.005 0.005 NA 0.195 NA NA 0.591 6 
RBPLJ2251+4030 0.05850303 0.3759958 0.05659974 0.3811568 0.057 0.004 0.003 NA 0.381 0.054 0.066 NA 33 
RBPLJ2253+1404 0.0159 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2253+1608 0.05998932 0.4940331 0.05978033 0.4640853 0.06 0.002 0.002 NA 0.464 0.032 0.035 NA 103 
RBPLJ2311+3425 0.2198167 0.5937721 0.2115315 0.7207049 0.212 0.027 0.029 NA 0.72 0.085 0.103 NA 30 
RBPLJ2321+2732 0.0359 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2325+3957 0.0377 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2334+0736 0.01755556 0.5602967 0.01140505 0.3700762 0.011 NA NA 0.019 0.407 NA NA 6.842 18 
RBPLJ2340+8015 0.06763846 0.4186123 0.06562206 0.435834 0.066 0.01 0.01 NA 0.435 0.115 0.166 NA 13 
RBPLJ2347+5142 0.03636667 0.3401779 0.03523045 0.2600933 0.035 0.004 0.005 NA 0.261 NA NA 0.596 9 
RBPLJ2348-1631 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
